FeatureMtypeSourceID,FeatureID,MtypeID,MSourceID,MtypeSecID,DataProviderID,LoggingMethodID
1,1,1,1,2,1,1
2,1,2,1,2,1,1
3,1,3,1,2,1,1
4,1,1,1,1,2,1
5,1,2,1,1,2,1
6,1,3,1,1,2,1
7,1,1,2,1,3,1
8,1,2,2,1,3,1
9,1,9,1,2,5,2
10,2,1,1,2,1,1
11,2,1,1,1,2,1
12,2,9,1,2,5,2
13,2,1,2,1,4,1
14,3,8,1,2,1,2
15,3,8,1,1,2,2
16,5,1,1,1,2,1
17,1,3,2,1,3,1
18,3,4,1,1,6,1
19,3,4,1,12,7,1
20,3,5,1,1,6,1
21,3,5,1,12,7,1
22,3,21,1,1,6,1
23,3,21,1,12,7,1
24,3,22,1,1,6,2
25,3,22,1,12,7,2
26,3,8,1,12,7,2
27,3,11,1,12,7,2
28,3,23,1,1,6,1
29,3,23,1,12,7,1
30,3,24,1,1,6,1
31,3,24,1,12,7,1
32,3,25,1,1,6,1
33,3,25,1,12,7,1
34,3,11,1,1,6,2
35,1,9,1,1,5,2
36,2,9,1,1,5,2
38,3,8,1,13,6,2
